"","member_casual","day_of_week","number_of_rides","average_duration"
"1","casual","Mon",224072,19.6565088728927
"2","casual","Tue",217852,17.6119642459853
"3","casual","Wed",211407,16.3920870617716
"4","casual","Thu",245690,17.5456585493936
"5","casual","Fri",307546,19.6051766814254
"6","casual","Sat",392878,22.4345193494389
"7","casual","Sun",322443,23.11199681184
"8","member","Mon",504255,11.6684598869261
"9","member","Tue",555152,11.6835167257803
"10","member","Wed",533962,11.5198219413245
"11","member","Thu",557255,11.7030959269139
"12","member","Fri",524348,12.012341408568
"13","member","Sat",440023,13.1836758373248
"14","member","Sun",384206,13.3594923505044
